customer_id,signup_date,segment,country,acquisition_channel,is_active
C000058,2024-02-21,Enterprise,PL,Organic,False
C000059,2023-04-11,Enterprise,NZ,Referral,True
C000060,2023-09-26,SMB,IQ,Paid Ads,True
C000061,2023-10-14,Enterprise,GQ,Organic,True
C000062,2023-02-23,Mid-Market,LI,Referral,True
C000063,2024-08-11,SMB,IL,Referral,True
C000064,2022-09-30,SMB,TN,Paid Ads,True
C000065,2023-04-04,SMB,EC,Partner,True
C000066,2022-07-26,SMB,GR,Organic,False
C000067,2023-11-17,Enterprise,CH,Organic,True
C000068,2022-01-07,SMB,DZ,Referral,False
C000069,2024-08-11,Enterprise,BZ,Paid Ads,True
C000070,2023-10-02,SMB,PY,Partner,True
C000071,2024-08-11,Mid-Market,CR,Referral,True
C000072,2022-08-13,SMB,BT,Partner,False
C000073,2024-11-10,Enterprise,UG,Referral,True
C000074,2023-02-05,SMB,ZA,Partner,True
C000075,2022-10-05,Enterprise,BT,Referral,True
C000076,2023-08-14,Mid-Market,GM,Partner,True
C000077,2023-09-25,Enterprise,LY,Organic,True
C000078,2023-04-13,SMB,BO,Partner,True
C000079,2024-06-05,SMB,ES,Referral,False
C000080,2023-02-24,SMB,TJ,Paid Ads,True
C000081,2022-12-17,SMB,WS,Referral,True
C000082,2024-07-20,SMB,SO,Paid Ads,True
C000083,2024-03-09,SMB,GQ,Paid Ads,False
C000084,2022-08-13,SMB,CR,Paid Ads,True
C000085,2022-01-02,Enterprise,CM,Paid Ads,True
C000086,2022-09-02,SMB,UA,Organic,True
C000087,2023-01-21,Mid-Market,WS,Referral,True
C000088,2023-06-09,SMB,KG,Partner,True
C000089,2024-06-14,SMB,US,Partner,True
C000090,2023-02-05,Mid-Market,GW,Referral,False
C000091,2022-05-29,SMB,TN,Partner,True
C000092,2022-02-24,SMB,TG,Partner,True
C000093,2023-04-21,SMB,ER,Paid Ads,True
C000094,2023-08-14,Mid-Market,MR,Paid Ads,True
C000095,2022-11-11,SMB,BZ,Organic,True
C000096,2022-11-10,Mid-Market,NE,Paid Ads,True
C000097,2023-01-04,SMB,CM,Referral,True
C000098,2024-11-09,SMB,BY,Referral,False
C000099,2022-03-15,SMB,TZ,Organic,False
C000100,2023-01-18,SMB,MZ,Paid Ads,False
C000101,2022-01-24,SMB,MW,Paid Ads,True
C000102,2022-06-09,SMB,AR,Paid Ads,True
C000103,2023-10-16,Enterprise,HU,Referral,True
C000104,2024-10-05,SMB,YE,Partner,True
C000105,2024-12-03,SMB,IQ,Partner,False
C000106,2023-02-19,Enterprise,AZ,Referral,True
C000107,2023-07-07,SMB,AR,Partner,True
C000108,2024-07-03,SMB,DJ,Partner,False
C000109,2022-02-19,SMB,SR,Partner,False
C000110,2022-04-15,SMB,NP,Organic,True
C000111,2024-06-21,SMB,SC,Paid Ads,False
C000112,2022-04-12,SMB,BD,Paid Ads,True
C000113,2022-11-02,Mid-Market,CA,Paid Ads,True
C000114,2022-03-24,SMB,ME,Partner,True
C000115,2023-10-13,SMB,AL,Referral,True
C000116,2024-09-04,SMB,KE,Paid Ads,True
C000117,2022-10-11,Enterprise,MN,Paid Ads,True
C000118,2023-06-24,SMB,ME,Referral,True
C000119,2023-02-17,SMB,TJ,Referral,True
C000120,2024-05-07,SMB,LU,Paid Ads,True
C000121,2023-03-21,Mid-Market,BW,Partner,True
C000122,2022-03-18,Mid-Market,LI,Organic,True
C000123,2024-01-17,Enterprise,GR,Referral,True
C000124,2022-04-30,Mid-Market,ER,Organic,True
C000125,2023-07-03,SMB,PY,Partner,True
C000126,2023-08-15,SMB,DZ,Organic,True
C000127,2022-06-21,SMB,AR,Paid Ads,True
C000128,2024-06-07,SMB,MW,Paid Ads,False
C000129,2024-06-14,SMB,AE,Referral,True
C000130,2023-03-21,SMB,VE,Referral,True
C000131,2024-01-19,Enterprise,CA,Paid Ads,True
C000132,2024-12-25,Enterprise,EG,Organic,True
C000133,2022-12-09,SMB,GR,Partner,True
C000134,2024-06-07,Mid-Market,BD,Organic,True
C000135,2023-09-14,Mid-Market,CG,Paid Ads,True
C000136,2024-07-31,Mid-Market,AO,Organic,True
C000137,2023-04-02,Enterprise,BW,Paid Ads,True
C000138,2022-07-05,Enterprise,AM,Referral,True
C000139,2023-11-17,SMB,MH,Paid Ads,True
C000140,2023-09-12,Mid-Market,BZ,Referral,True
C000141,2022-06-15,SMB,IT,Referral,True
C000142,2024-03-08,Mid-Market,NG,Referral,True
C000143,2023-11-29,Mid-Market,MR,Organic,True
C000144,2024-03-20,SMB,SZ,Organic,True
C000145,2024-05-06,Enterprise,BD,Paid Ads,False
C000146,2022-05-07,SMB,HU,Partner,True
C000147,2023-06-30,Mid-Market,VE,Paid Ads,True
C000148,2023-10-21,SMB,SV,Referral,False
C000149,2024-02-17,Mid-Market,ZA,Organic,True
C000150,2022-11-16,SMB,DZ,Partner,True
C000151,2022-06-10,SMB,MX,Partner,False
C000152,2023-03-28,SMB,IT,Paid Ads,False
C000153,2022-06-20,SMB,DJ,Referral,True
C000154,2022-02-06,SMB,MX,Organic,True
C000155,2024-06-17,SMB,GM,Referral,False
C000156,2022-06-27,SMB,RU,Paid Ads,True
C000157,2023-10-01,SMB,BI,Paid Ads,True
C000158,2022-04-13,Enterprise,CI,Referral,True
C000159,2022-06-22,Mid-Market,AZ,Paid Ads,True
C000160,2022-10-19,SMB,GQ,Partner,True
C000161,2022-08-15,Enterprise,DO,Referral,True
C000162,2022-11-27,Enterprise,GN,Referral,True
C000163,2024-12-22,Enterprise,PW,Referral,True
C000164,2023-02-19,Enterprise,TM,Paid Ads,True
C000165,2024-03-16,SMB,BS,Organic,True
C000166,2023-04-19,Mid-Market,AL,Partner,True
C000167,2024-08-08,Mid-Market,VU,Referral,True
C000168,2024-03-18,SMB,AD,Paid Ads,False
C000169,2024-04-08,SMB,NZ,Paid Ads,True
C000170,2023-11-12,Enterprise,FJ,Referral,True
C000171,2022-10-06,SMB,MU,Partner,False
C000172,2023-10-14,SMB,PS,Referral,True
C000173,2023-03-17,SMB,NI,Referral,False
C000174,2023-01-05,SMB,MX,Organic,True
C000175,2023-12-08,Enterprise,SZ,Organic,True
C000176,2024-11-05,SMB,MT,Partner,True
C000177,2024-10-09,Mid-Market,AE,Organic,True
C000178,2022-01-06,Enterprise,VN,Paid Ads,True
C000179,2022-08-16,Enterprise,KR,Organic,True
C000180,2022-05-16,SMB,HT,Organic,True
C000181,2022-05-12,SMB,BR,Partner,False
C000182,2024-12-03,SMB,NL,Organic,True
C000183,2024-02-16,SMB,PE,Paid Ads,True
C000184,2023-12-19,SMB,TM,Referral,True
C000185,2022-08-30,SMB,TG,Partner,True
C000186,2023-11-05,SMB,GY,Referral,True
C000187,2023-07-16,SMB,IQ,Paid Ads,True
C000188,2023-06-02,Enterprise,BT,Organic,True
C000189,2023-02-28,Mid-Market,TT,Paid Ads,True
C000190,2022-09-27,Mid-Market,AF,Organic,False
C000191,2023-12-26,SMB,MZ,Partner,True
C000192,2024-10-21,SMB,AM,Organic,True
C000193,2022-03-12,SMB,MR,Referral,True
C000194,2022-04-12,SMB,MG,Partner,True
C000195,2023-12-23,Mid-Market,LK,Referral,True
C000196,2024-03-05,Mid-Market,DM,Organic,True
C000197,2022-05-21,SMB,PK,Paid Ads,True
C000198,2022-10-22,SMB,CZ,Referral,True
C000199,2022-08-21,SMB,UZ,Organic,True
C000200,2024-03-26,SMB,BJ,Partner,True
C000201,2022-09-18,Mid-Market,IQ,Partner,False
C000202,2023-11-16,Mid-Market,KI,Referral,True
C000203,2022-08-14,Mid-Market,LK,Organic,True
C000204,2023-06-12,SMB,GH,Organic,True
C000205,2023-01-19,SMB,AL,Referral,False
C000206,2022-04-01,Mid-Market,PY,Referral,False
C000207,2024-08-05,Mid-Market,GD,Referral,True
C000208,2024-03-12,SMB,PA,Referral,False
C000209,2024-07-13,Enterprise,SM,Paid Ads,True
C000210,2023-09-12,SMB,CI,Referral,True
C000211,2024-01-12,Mid-Market,PL,Partner,True
C000212,2023-06-17,SMB,BR,Referral,True
C000213,2024-08-27,SMB,RO,Paid Ads,False
C000214,2024-09-05,Enterprise,JO,Paid Ads,True
C000215,2024-06-29,Mid-Market,BT,Referral,True
C000216,2024-04-27,SMB,BS,Partner,True
C000217,2022-09-10,SMB,LC,Referral,True
C000218,2023-08-16,Enterprise,KP,Paid Ads,True
C000219,2024-03-22,SMB,GW,Partner,True
C000220,2022-02-19,Mid-Market,CZ,Organic,True
C000221,2024-08-08,Enterprise,DO,Partner,True
C000222,2023-01-12,Mid-Market,BS,Partner,False
C000223,2022-09-12,Mid-Market,ML,Partner,True
C000224,2023-07-10,Enterprise,TV,Partner,True
C000225,2024-07-31,SMB,SC,Referral,False
C000226,2022-06-29,Mid-Market,AT,Organic,True
C000227,2022-02-07,Mid-Market,PS,Partner,True
C000228,2024-08-22,Mid-Market,NZ,Organic,True
C000229,2022-02-03,SMB,SB,Organic,True
C000230,2024-12-07,SMB,TW,Organic,True
C000231,2024-04-02,SMB,TJ,Paid Ads,True
C000232,2022-05-03,SMB,BN,Referral,True
C000233,2022-07-13,SMB,VC,Referral,True
C000234,2023-02-01,Mid-Market,DJ,Paid Ads,True
C000235,2022-10-10,SMB,NA,Organic,True
C000236,2022-02-05,SMB,AD,Partner,True
C000237,2023-03-06,SMB,VA,Partner,False
C000238,2022-08-08,SMB,MC,Paid Ads,True
C000239,2022-08-05,Enterprise,PA,Partner,True
C000240,2022-02-15,SMB,PA,Organic,True
C000241,2023-05-26,SMB,AZ,Partner,True
C000242,2023-05-30,Enterprise,BF,Partner,True
C000243,2024-10-08,SMB,MU,Referral,True
C000244,2024-11-13,SMB,LS,Organic,False
C000245,2024-11-27,SMB,AU,Paid Ads,True
C000246,2022-06-26,SMB,MW,Partner,True
C000247,2024-11-16,Mid-Market,MZ,Partner,True
C000248,2024-01-08,Enterprise,LK,Paid Ads,True
C000249,2024-07-12,Enterprise,PL,Paid Ads,True
C000250,2023-04-20,SMB,BA,Partner,True
C000251,2024-04-14,SMB,AE,Partner,True
C000252,2022-07-08,SMB,SC,Organic,True
C000253,2023-03-13,SMB,CN,Referral,True
C000254,2024-11-25,SMB,GR,Organic,False
C000255,2024-06-23,Mid-Market,CG,Partner,True
C000256,2022-03-23,SMB,DM,Partner,True
C000257,2023-07-21,SMB,CH,Paid Ads,True
C000258,2023-09-23,SMB,MD,Paid Ads,True
C000259,2023-06-24,Enterprise,NI,Organic,True
C000260,2024-07-27,SMB,BS,Paid Ads,True
C000261,2023-09-07,Mid-Market,SY,Paid Ads,True
C000262,2023-02-13,Mid-Market,MV,Referral,False
C000263,2024-07-04,SMB,KH,Paid Ads,True
C000264,2022-09-21,Mid-Market,LU,Referral,True
C000265,2024-07-29,SMB,AR,Paid Ads,True
C000266,2023-06-05,SMB,SY,Referral,True
C000267,2022-07-30,SMB,EG,Organic,True
C000268,2022-04-15,Mid-Market,MC,Referral,True
C000269,2024-11-22,Mid-Market,GN,Paid Ads,True
C000270,2023-07-31,Mid-Market,SZ,Referral,True
C000271,2022-03-08,Enterprise,MT,Paid Ads,True
C000272,2024-10-17,SMB,HN,Organic,True
C000273,2024-12-23,SMB,PG,Partner,True
C000274,2022-04-29,SMB,NZ,Referral,True
C000275,2024-06-18,SMB,LC,Referral,True
C000276,2023-10-14,SMB,PY,Organic,True
C000277,2024-02-25,Enterprise,RU,Paid Ads,True
C000278,2024-06-05,Mid-Market,IS,Paid Ads,True
C000279,2022-07-06,SMB,NE,Partner,True
C000280,2024-07-10,Mid-Market,BZ,Paid Ads,True
C000281,2024-11-13,SMB,NL,Organic,True
C000282,2023-08-25,SMB,ET,Partner,True
C000283,2023-06-29,Mid-Market,BF,Paid Ads,False
C000284,2023-01-11,SMB,IE,Organic,True
C000285,2024-05-26,Mid-Market,EC,Partner,False
C000286,2023-09-25,Mid-Market,VC,Partner,True
C000287,2023-12-08,SMB,IN,Organic,True
C000288,2024-09-14,Mid-Market,MK,Partner,True
C000289,2024-11-25,SMB,AZ,Organic,True
C000290,2023-06-13,SMB,MR,Referral,False
C000291,2022-08-03,Mid-Market,CR,Paid Ads,False
C000292,2022-03-14,SMB,BF,Partner,True
C000293,2022-02-12,SMB,MC,Partner,True
C000294,2022-08-30,SMB,PA,Partner,False
C000295,2024-04-01,SMB,LV,Partner,True
C000296,2023-06-06,Enterprise,TJ,Referral,True
C000297,2022-05-06,SMB,KZ,Organic,False
C000298,2023-10-02,Mid-Market,US,Organic,True
C000299,2024-02-02,SMB,IR,Organic,False
C000300,2022-06-25,SMB,IS,Referral,False
C000301,2022-01-06,SMB,TH,Partner,True
C000302,2024-12-06,SMB,UG,Referral,True
C000303,2023-02-15,Mid-Market,GB,Partner,True
C000304,2022-02-17,SMB,MU,Paid Ads,True
C000305,2023-06-23,SMB,DO,Referral,True
C000306,2023-11-27,SMB,MG,Referral,True
C000307,2022-03-21,SMB,UG,Organic,True
C000308,2024-04-01,SMB,MR,Organic,True
C000309,2022-01-22,SMB,KN,Organic,True
C000310,2023-03-20,SMB,SO,Partner,True
C000311,2023-07-04,SMB,BT,Organic,False
C000312,2023-07-11,SMB,LA,Referral,False
C000313,2024-03-25,SMB,TD,Referral,True
C000314,2022-01-24,SMB,DZ,Partner,True
C000315,2024-05-06,SMB,FR,Organic,True
C000316,2024-03-11,Enterprise,BD,Referral,True
C000317,2024-06-10,SMB,TM,Organic,False
C000318,2022-07-19,SMB,SM,Paid Ads,False
C000319,2024-06-02,Mid-Market,DJ,Referral,True
C000320,2022-06-08,SMB,VC,Paid Ads,True
C000321,2023-05-19,SMB,BZ,Referral,True
C000322,2022-02-19,Mid-Market,PW,Partner,True
C000323,2024-11-20,SMB,BT,Paid Ads,True
C000324,2022-04-21,SMB,MW,Partner,True
C000325,2024-04-22,SMB,CY,Organic,True
C000326,2023-04-26,SMB,TJ,Paid Ads,True
C000327,2023-04-10,SMB,LK,Partner,True
C000328,2023-04-16,SMB,GB,Paid Ads,True
C000329,2023-08-24,SMB,CL,Paid Ads,False
C000330,2024-06-24,SMB,CR,Paid Ads,True
C000331,2024-02-02,SMB,BZ,Organic,True
C000332,2022-08-03,SMB,IS,Referral,False
C000333,2022-01-15,SMB,ER,Partner,False
C000334,2023-08-06,Mid-Market,JP,Referral,False
C000335,2023-02-13,Mid-Market,NA,Partner,False
C000336,2023-09-01,SMB,SB,Partner,True
C000337,2024-03-27,SMB,KI,Partner,True
C000338,2024-06-10,SMB,SK,Paid Ads,True
C000339,2023-08-06,Mid-Market,LS,Paid Ads,False
C000340,2023-07-20,Enterprise,KH,Referral,True
C000341,2023-11-21,Mid-Market,PW,Organic,True
C000342,2023-10-14,Mid-Market,AO,Referral,True
C000343,2022-10-30,SMB,PH,Paid Ads,True
C000344,2022-11-02,SMB,DZ,Partner,True
C000345,2023-06-23,SMB,BN,Partner,True
C000346,2022-04-18,SMB,CI,Referral,True
C000347,2024-12-09,SMB,PS,Organic,False
C000348,2023-02-15,Mid-Market,TR,Partner,True
C000349,2024-05-30,SMB,SB,Referral,True
C000350,2022-10-13,Enterprise,CN,Referral,True
C000351,2024-04-07,SMB,GE,Referral,True
C000352,2022-11-13,Mid-Market,CD,Organic,True
C000353,2022-01-05,Mid-Market,KP,Paid Ads,True
C000354,2022-04-19,SMB,BT,Organic,False
C000355,2023-05-15,SMB,EC,Organic,True
C000356,2023-02-20,SMB,TL,Partner,False
C000357,2022-01-18,Mid-Market,LC,Partner,True
C000358,2022-09-13,Enterprise,MV,Partner,True
C000359,2024-12-20,SMB,GN,Paid Ads,True
C000360,2024-01-20,Enterprise,CL,Organic,True
C000361,2023-02-01,Mid-Market,SB,Paid Ads,True
C000362,2022-04-04,SMB,SV,Paid Ads,True
C000363,2024-05-30,Enterprise,TW,Organic,True
C000364,2022-10-13,SMB,SG,Referral,True
C000365,2024-12-29,SMB,DJ,Partner,True
C000366,2024-04-06,Enterprise,IL,Referral,True
C000367,2022-03-17,Enterprise,DZ,Partner,True
C000368,2024-12-01,Mid-Market,MW,Partner,True
C000369,2024-04-09,Enterprise,AZ,Partner,False
C000370,2024-12-11,SMB,RW,Organic,False
C000371,2023-12-04,SMB,AR,Paid Ads,False
C000372,2023-03-17,Enterprise,PK,Organic,True
C000373,2023-06-15,SMB,GE,Partner,True
C000374,2022-01-25,SMB,IN,Partner,False
C000375,2024-05-25,Mid-Market,LU,Paid Ads,True
C000376,2023-09-09,SMB,MU,Organic,True
C000377,2023-08-29,SMB,GY,Paid Ads,False
C000378,2023-06-30,Enterprise,VC,Partner,True
C000379,2023-02-18,Enterprise,UZ,Paid Ads,True
C000380,2022-04-18,Mid-Market,MZ,Partner,False
C000381,2022-03-30,SMB,WS,Referral,True
C000382,2023-01-03,SMB,BH,Partner,True
C000383,2023-09-25,Mid-Market,SI,Paid Ads,True
C000384,2024-08-08,SMB,CD,Referral,True
C000385,2023-09-08,Enterprise,GM,Partner,True
C000386,2023-06-21,Enterprise,SG,Partner,True
C000387,2022-03-27,SMB,VN,Referral,False
C000388,2022-03-19,Mid-Market,VA,Organic,True
C000389,2023-10-22,SMB,UY,Partner,True
C000390,2024-11-27,SMB,FR,Paid Ads,True
C000391,2022-08-07,SMB,GH,Paid Ads,True
C000392,2024-02-12,Mid-Market,AM,Referral,True
C000393,2024-12-15,SMB,TL,Organic,True
C000394,2024-06-11,SMB,LI,Organic,True
C000395,2024-08-27,SMB,VC,Partner,True
C000396,2023-12-22,Enterprise,TV,Referral,True
C000397,2024-01-18,SMB,CF,Referral,True
C000398,2022-11-03,SMB,OM,Referral,True
C000399,2022-04-23,Enterprise,DJ,Organic,True
C000400,2024-02-22,Mid-Market,NP,Partner,False
C000401,2022-12-31,SMB,MW,Organic,True
C000402,2023-03-06,Mid-Market,NA,Organic,True
C000403,2023-03-27,Mid-Market,PK,Partner,True
C000404,2022-06-21,Enterprise,AG,Partner,True
C000405,2024-06-10,SMB,ER,Organic,True
C000406,2023-08-05,SMB,GN,Partner,True
C000407,2024-02-01,SMB,AR,Organic,False
C000408,2024-05-17,Enterprise,MV,Referral,True
C000409,2022-11-01,SMB,SR,Referral,False
C000410,2022-09-02,Enterprise,TM,Partner,True
C000411,2024-01-21,SMB,DO,Partner,True
C000412,2023-01-17,Mid-Market,LI,Partner,True
C000413,2023-08-08,SMB,MN,Referral,True
C000414,2022-05-19,SMB,MT,Paid Ads,True
C000415,2024-02-07,SMB,NA,Organic,True
C000416,2022-12-24,Enterprise,NE,Partner,True
C000417,2024-02-07,SMB,BH,Partner,True
C000418,2022-03-07,SMB,AL,Referral,True
C000419,2024-06-20,SMB,GM,Referral,True
C000420,2022-05-18,SMB,PY,Organic,True
C000421,2024-08-30,SMB,NA,Partner,True
C000422,2024-09-08,Mid-Market,CA,Organic,False
C000423,2023-06-11,Enterprise,TV,Partner,True
C000424,2023-11-30,Enterprise,BI,Partner,False
C000425,2023-11-21,Enterprise,VA,Paid Ads,True
C000426,2024-03-13,Mid-Market,LY,Referral,True
C000427,2022-04-27,Mid-Market,TR,Organic,True
C000428,2022-02-16,Enterprise,VC,Paid Ads,True
C000429,2022-03-04,SMB,SB,Paid Ads,False
C000430,2023-10-25,Mid-Market,CY,Paid Ads,False
C000431,2023-02-25,SMB,TW,Organic,True
C000432,2022-06-29,Enterprise,BR,Paid Ads,True
C000433,2022-08-31,SMB,NR,Paid Ads,False
C000434,2022-01-07,SMB,PK,Organic,False
C000435,2023-06-20,SMB,GE,Referral,True
C000436,2023-05-29,SMB,UY,Referral,False
C000437,2024-02-08,SMB,GY,Paid Ads,True
C000438,2024-09-06,Mid-Market,MZ,Partner,True
C000439,2022-10-26,Mid-Market,BW,Referral,False
C000440,2024-09-11,SMB,VE,Referral,False
C000441,2022-05-02,SMB,SB,Organic,True
C000442,2024-02-16,SMB,CV,Paid Ads,True
C000443,2022-11-05,Enterprise,TL,Partner,True
C000444,2024-04-22,Enterprise,TG,Referral,True
C000445,2023-06-27,SMB,CM,Organic,True
C000446,2022-07-16,Enterprise,TR,Organic,True
C000447,2024-10-31,Mid-Market,MW,Partner,True
C000448,2022-03-06,Mid-Market,SA,Partner,True
C000449,2024-12-05,Mid-Market,CN,Referral,False
C000450,2023-02-14,Enterprise,MG,Partner,True
C000451,2022-10-11,SMB,CU,Partner,True
C000452,2022-05-20,SMB,MD,Organic,True
C000453,2024-11-22,Enterprise,FM,Organic,True
C000454,2024-07-27,SMB,LA,Partner,False
C000455,2022-08-25,SMB,CH,Paid Ads,True
C000456,2023-05-25,Enterprise,BT,Partner,False
C000457,2022-05-16,Mid-Market,IQ,Organic,True
C000458,2022-11-13,Mid-Market,PW,Referral,False
C000459,2022-02-06,Mid-Market,DM,Organic,False
C000460,2023-10-28,SMB,ST,Referral,False
C000461,2024-12-25,Mid-Market,TW,Referral,True
C000462,2024-09-18,Mid-Market,KE,Paid Ads,True
C000463,2024-01-03,SMB,BW,Partner,True
C000464,2023-12-05,SMB,GT,Organic,True
C000465,2024-01-22,Mid-Market,AZ,Paid Ads,True
C000466,2024-04-11,Enterprise,ME,Organic,True
C000467,2023-07-03,Mid-Market,GH,Referral,True
C000468,2022-05-16,SMB,GY,Organic,False
C000469,2023-07-18,SMB,LK,Organic,True
C000470,2022-03-27,Mid-Market,MX,Organic,False
C000471,2024-02-01,Enterprise,ZA,Partner,True
C000472,2023-04-26,Enterprise,NE,Organic,False
C000473,2023-11-04,Mid-Market,YE,Organic,True
C000474,2022-03-18,Mid-Market,GW,Partner,True
C000475,2022-07-19,Enterprise,UG,Referral,True
C000476,2022-02-23,Mid-Market,UA,Referral,False
C000477,2022-01-20,Enterprise,PG,Partner,True
C000478,2023-03-01,Enterprise,BW,Organic,True
C000479,2022-02-17,SMB,MH,Partner,True
C000480,2022-01-23,SMB,VA,Paid Ads,True
C000481,2024-10-16,SMB,KR,Organic,True
C000482,2022-09-23,SMB,CU,Organic,True
C000483,2023-05-04,SMB,KI,Referral,True
C000484,2023-10-08,SMB,ZM,Organic,True
C000485,2023-04-20,Enterprise,FJ,Referral,True
C000486,2024-05-13,Mid-Market,NZ,Partner,False
C000487,2024-01-31,Enterprise,HN,Organic,True
C000488,2023-06-16,Mid-Market,TG,Paid Ads,True
C000489,2022-07-23,SMB,CL,Paid Ads,True
C000490,2023-06-07,SMB,CG,Partner,True
C000491,2024-02-08,SMB,SG,Referral,True
C000492,2023-12-09,Enterprise,LV,Referral,True
C000493,2023-11-30,SMB,MZ,Organic,False
C000494,2023-05-18,Mid-Market,FJ,Partner,True
C000495,2024-09-07,SMB,TW,Referral,True
C000496,2024-02-22,Enterprise,MC,Paid Ads,True
C000497,2022-10-12,Mid-Market,EC,Partner,False
C000498,2024-08-04,Enterprise,IQ,Organic,True
C000499,2022-08-16,SMB,EG,Organic,True
C000500,2023-10-21,SMB,SC,Partner,True
C000501,2022-05-11,Enterprise,MR,Organic,True
C000502,2022-08-28,SMB,HN,Organic,True
C000503,2022-04-12,SMB,NO,Organic,True
C000504,2022-07-08,SMB,TL,Organic,True
C000505,2022-11-20,SMB,GD,Paid Ads,False
C000506,2023-02-22,Enterprise,CR,Partner,True
C000507,2023-04-23,SMB,OM,Referral,True
C000508,2023-12-18,Mid-Market,TV,Paid Ads,True
C000509,2022-07-29,SMB,CF,Organic,True
C000510,2022-12-05,SMB,SB,Referral,True
C000511,2023-02-21,Mid-Market,EG,Referral,True
C000512,2022-11-02,SMB,CY,Referral,True
C000513,2022-11-23,SMB,KI,Referral,True
C000514,2023-05-09,SMB,KN,Referral,False
C000515,2024-10-12,Mid-Market,AO,Paid Ads,False
C000516,2022-06-26,SMB,DO,Referral,True
C000517,2023-04-29,Enterprise,BE,Organic,True
C000518,2023-04-20,Mid-Market,BA,Paid Ads,True
C000519,2023-06-28,Mid-Market,ER,Paid Ads,True
C000520,2022-03-10,SMB,PK,Organic,True
C000521,2022-12-31,Mid-Market,EG,Referral,True
C000522,2024-06-16,SMB,US,Paid Ads,True
C000523,2024-05-13,SMB,KZ,Paid Ads,True
C000524,2024-05-21,SMB,GW,Partner,True
C000525,2023-12-06,SMB,GD,Paid Ads,True
C000526,2022-05-16,SMB,LK,Organic,True
C000527,2022-02-24,SMB,IT,Paid Ads,True
C000528,2024-04-16,SMB,JP,Referral,False
C000529,2023-06-02,Enterprise,NE,Paid Ads,True
C000530,2024-12-04,Mid-Market,MR,Organic,True
C000531,2024-08-11,SMB,ST,Paid Ads,True
C000532,2022-02-25,SMB,PK,Partner,True
C000533,2024-04-20,Mid-Market,BJ,Partner,True
C000534,2022-08-25,Mid-Market,KZ,Partner,True
C000535,2024-02-22,Mid-Market,CG,Partner,True
