payment_id,customer_id,payment_date,amount,payment_status
P6495036,C000007,2024-07-07,29.99,Success
P9755738,C000007,2024-08-06,29.99,Success
P5647681,C000007,2024-09-05,29.99,Success
P3673963,C000007,2024-10-05,0.0,Failed
P4062023,C000007,2024-11-04,29.99,Success
P7806764,C000007,2024-12-04,29.99,Success
P2996833,C000008,2024-04-28,59.99,Success
P8539350,C000008,2024-05-28,59.99,Success
P6470251,C000008,2024-06-27,59.99,Success
P5673376,C000008,2024-07-27,59.99,Success
P3813045,C000008,2024-08-26,59.99,Success
P4634210,C000008,2024-09-25,59.99,Success
P7269648,C000008,2024-10-25,59.99,Success
P7850358,C000008,2024-11-24,59.99,Success
P8871593,C000008,2024-12-24,59.99,Success
P2439361,C000009,2024-08-24,29.99,Success
P2982431,C000009,2024-09-23,29.99,Success
P2052513,C000009,2024-10-23,29.99,Success
P9600964,C000009,2024-11-22,29.99,Success
P5048491,C000009,2024-12-22,29.99,Success
P1393142,C000010,2022-05-11,129.99,Success
P8383618,C000010,2022-06-10,0.0,Failed
P6097988,C000010,2022-07-10,129.99,Success
P6121679,C000010,2022-08-09,129.99,Success
P5390923,C000010,2022-09-08,129.99,Success
P6823651,C000011,2023-01-14,129.99,Success
P2089011,C000011,2023-02-13,129.99,Success
P4736938,C000011,2023-03-15,129.99,Success
P3612443,C000011,2023-04-14,129.99,Success
P2562351,C000011,2023-05-14,129.99,Success
P2218773,C000011,2023-06-13,129.99,Success
P3693317,C000011,2023-07-13,129.99,Success
P9974216,C000011,2023-08-12,129.99,Success
P1354144,C000011,2023-09-11,129.99,Success
P8146289,C000011,2023-10-11,129.99,Success
P1838530,C000011,2023-11-10,129.99,Success
P9768380,C000011,2023-12-10,129.99,Success
P5890606,C000011,2024-01-09,129.99,Success
P2354261,C000011,2024-02-08,129.99,Success
P8157847,C000011,2024-03-09,129.99,Success
P7521962,C000011,2024-04-08,129.99,Success
P9001177,C000011,2024-05-08,129.99,Success
P3552021,C000011,2024-06-07,129.99,Success
P5669200,C000011,2024-07-07,129.99,Success
P1032860,C000011,2024-08-06,129.99,Success
P8864986,C000011,2024-09-05,129.99,Success
P1499946,C000011,2024-10-05,129.99,Success
P9705337,C000011,2024-11-04,129.99,Success
P6782090,C000011,2024-12-04,129.99,Success
P5699810,C000012,2023-12-25,29.99,Success
P1195440,C000012,2024-01-24,29.99,Success
P9046682,C000012,2024-02-23,29.99,Success
P6407271,C000012,2024-03-24,29.99,Success
P3963519,C000012,2024-04-23,29.99,Success
P1113458,C000012,2024-05-23,29.99,Success
P1985155,C000012,2024-06-22,0.0,Failed
P7132075,C000012,2024-07-22,29.99,Success
P9722896,C000012,2024-08-21,29.99,Success
P2549610,C000012,2024-09-20,29.99,Success
P8301508,C000012,2024-10-20,29.99,Success
P3555688,C000012,2024-11-19,29.99,Success
P6096066,C000012,2024-12-19,29.99,Success
P8855868,C000013,2022-05-09,59.99,Success
P2686789,C000013,2022-06-08,59.99,Success
P6808878,C000013,2022-07-08,59.99,Success
P4554562,C000013,2022-08-07,59.99,Success
P7088397,C000013,2022-09-06,59.99,Success
P1635835,C000013,2022-10-06,59.99,Success
P3286491,C000013,2022-11-05,59.99,Success
P7769867,C000013,2022-12-05,59.99,Success
P5401627,C000013,2023-01-04,59.99,Success
P3246352,C000013,2023-02-03,59.99,Success
P8433425,C000013,2023-03-05,59.99,Success
P9159212,C000013,2023-04-04,59.99,Success
P8943593,C000013,2023-05-04,59.99,Success
P6492421,C000013,2023-06-03,59.99,Success
P3775364,C000013,2023-07-03,59.99,Success
P3890771,C000013,2023-08-02,59.99,Success
P7046680,C000013,2023-09-01,59.99,Success
P5427831,C000013,2023-10-01,59.99,Success
P5668388,C000013,2023-10-31,59.99,Success
P4050694,C000013,2023-11-30,59.99,Success
P9767564,C000013,2023-12-30,59.99,Success
P2966106,C000013,2024-01-29,59.99,Success
P6685312,C000013,2024-02-28,59.99,Success
P5638299,C000013,2024-03-29,59.99,Success
P7218604,C000013,2024-04-28,59.99,Success
P2722323,C000013,2024-05-28,59.99,Success
P7081785,C000013,2024-06-27,59.99,Success
P5167770,C000013,2024-07-27,59.99,Success
P4435679,C000013,2024-08-26,59.99,Success
P1233617,C000013,2024-09-25,59.99,Success
P4618982,C000013,2024-10-25,59.99,Success
P5063664,C000013,2024-11-24,59.99,Success
P6362274,C000013,2024-12-24,59.99,Success
P6364985,C000014,2023-07-31,59.99,Success
P4697112,C000014,2023-08-30,59.99,Success
P4938073,C000014,2023-09-29,59.99,Success
P3428420,C000014,2023-10-29,59.99,Success
P4431214,C000014,2023-11-28,59.99,Success
P9095901,C000014,2023-12-28,59.99,Success
P8255322,C000014,2024-01-27,59.99,Success
P8334579,C000014,2024-02-26,59.99,Success
P1108843,C000014,2024-03-27,59.99,Success
P4736133,C000014,2024-04-26,59.99,Success
P1206624,C000014,2024-05-26,59.99,Success
P5345777,C000015,2022-02-18,29.99,Success
P6464271,C000015,2022-03-20,29.99,Success
P9777869,C000015,2022-04-19,29.99,Success
P6114026,C000015,2022-05-19,0.0,Failed
P3863720,C000015,2022-06-18,29.99,Success
P5909113,C000015,2022-07-18,29.99,Success
P3671536,C000015,2022-08-17,0.0,Failed
P4140391,C000015,2022-09-16,29.99,Success
P6826709,C000015,2022-10-16,29.99,Success
P4014861,C000015,2022-11-15,29.99,Success
P8580069,C000015,2022-12-15,29.99,Success
P8176846,C000015,2023-01-14,0.0,Failed
P3637826,C000015,2023-02-13,29.99,Success
P7059954,C000015,2023-03-15,29.99,Success
P8768407,C000015,2023-04-14,29.99,Success
P7384223,C000015,2023-05-14,29.99,Success
P2014810,C000015,2023-06-13,0.0,Failed
P3231015,C000015,2023-07-13,29.99,Success
P3279737,C000016,2022-06-08,129.99,Success
P4403438,C000016,2022-07-08,129.99,Success
P2387391,C000016,2022-08-07,129.99,Success
P8720628,C000016,2022-09-06,129.99,Success
P1337003,C000016,2022-10-06,129.99,Success
P7209119,C000016,2022-11-05,129.99,Success
P3276313,C000016,2022-12-05,129.99,Success
P8536945,C000016,2023-01-04,129.99,Success
P4607561,C000016,2023-02-03,129.99,Success
P2601442,C000016,2023-03-05,129.99,Success
P5791535,C000016,2023-04-04,129.99,Success
P8446203,C000016,2023-05-04,129.99,Success
P6661773,C000016,2023-06-03,129.99,Success
P9545034,C000016,2023-07-03,129.99,Success
P8070416,C000016,2023-08-02,129.99,Success
P9179792,C000016,2023-09-01,129.99,Success
P8374942,C000016,2023-10-01,129.99,Success
P8927894,C000016,2023-10-31,129.99,Success
P1520506,C000016,2023-11-30,0.0,Failed
P6582975,C000016,2023-12-30,129.99,Success
P4092226,C000016,2024-01-29,129.99,Success
P2262586,C000016,2024-02-28,129.99,Success
P3517173,C000016,2024-03-29,129.99,Success
P4741384,C000016,2024-04-28,129.99,Success
P7548922,C000016,2024-05-28,129.99,Success
P6538074,C000016,2024-06-27,129.99,Success
P7103001,C000016,2024-07-27,129.99,Success
P9165818,C000016,2024-08-26,129.99,Success
P7525014,C000016,2024-09-25,129.99,Success
P5834322,C000016,2024-10-25,129.99,Success
P3659732,C000016,2024-11-24,129.99,Success
P7433210,C000016,2024-12-24,129.99,Success
P3835890,C000017,2022-08-29,59.99,Success
P4447930,C000017,2022-09-28,59.99,Success
P7842541,C000017,2022-10-28,59.99,Success
P5510178,C000017,2022-11-27,59.99,Success
P3206381,C000017,2022-12-27,59.99,Success
P7486810,C000017,2023-01-26,59.99,Success
P9687356,C000017,2023-02-25,59.99,Success
P2261173,C000017,2023-03-27,59.99,Success
P7309611,C000017,2023-04-26,59.99,Success
P8256528,C000017,2023-05-26,0.0,Failed
P4396012,C000017,2023-06-25,59.99,Success
P5412292,C000017,2023-07-25,59.99,Success
P1619725,C000017,2023-08-24,59.99,Success
P9879857,C000017,2023-09-23,59.99,Success
P3549510,C000017,2023-10-23,59.99,Success
P2184525,C000017,2023-11-22,59.99,Success
P9662020,C000017,2023-12-22,59.99,Success
P7336963,C000017,2024-01-21,59.99,Success
P4112863,C000017,2024-02-20,0.0,Failed
P7262215,C000017,2024-03-21,59.99,Success
P2775198,C000017,2024-04-20,59.99,Success
P5118243,C000017,2024-05-20,59.99,Success
P4198590,C000017,2024-06-19,59.99,Success
P7044732,C000017,2024-07-19,59.99,Success
P6587734,C000017,2024-08-18,59.99,Success
P7965359,C000017,2024-09-17,59.99,Success
P6301239,C000017,2024-10-17,59.99,Success
P7431032,C000017,2024-11-16,59.99,Success
P2230075,C000017,2024-12-16,59.99,Success
P6353673,C000018,2022-02-11,129.99,Success
P9870081,C000018,2022-03-13,129.99,Success
P1028039,C000018,2022-04-12,129.99,Success
P9630534,C000018,2022-05-12,129.99,Success
P9707237,C000018,2022-06-11,129.99,Success
P1520969,C000018,2022-07-11,129.99,Success
P2539513,C000018,2022-08-10,129.99,Success
P1060826,C000018,2022-09-09,129.99,Success
P5736945,C000018,2022-10-09,129.99,Success
P3926279,C000018,2022-11-08,129.99,Success
P4428215,C000018,2022-12-08,129.99,Success
P1430622,C000018,2023-01-07,129.99,Success
P7945699,C000018,2023-02-06,129.99,Success
P9516004,C000018,2023-03-08,129.99,Success
P9482371,C000018,2023-04-07,129.99,Success
P5563320,C000018,2023-05-07,129.99,Success
P9186848,C000018,2023-06-06,129.99,Success
P2894641,C000018,2023-07-06,129.99,Success
P3915644,C000018,2023-08-05,129.99,Success
P9293832,C000018,2023-09-04,129.99,Success
P7990695,C000018,2023-10-04,129.99,Success
P4752266,C000018,2023-11-03,129.99,Success
P2218976,C000018,2023-12-03,129.99,Success
P2273776,C000018,2024-01-02,129.99,Success
P9460790,C000018,2024-02-01,129.99,Success
P6107482,C000018,2024-03-02,129.99,Success
P5983486,C000018,2024-04-01,129.99,Success
P1782776,C000018,2024-05-01,129.99,Success
P8868140,C000018,2024-05-31,129.99,Success
P9190839,C000018,2024-06-30,129.99,Success
P7304883,C000018,2024-07-30,129.99,Success
P5385930,C000018,2024-08-29,129.99,Success
P3038923,C000018,2024-09-28,129.99,Success
P1552761,C000018,2024-10-28,129.99,Success
P9818262,C000018,2024-11-27,129.99,Success
P8927638,C000018,2024-12-27,129.99,Success
P3787226,C000019,2022-09-22,29.99,Success
P4831878,C000019,2022-10-22,29.99,Success
P3675783,C000019,2022-11-21,29.99,Success
P6986195,C000019,2022-12-21,29.99,Success
P8394812,C000019,2023-01-20,29.99,Success
P1123649,C000019,2023-02-19,29.99,Success
P3200252,C000019,2023-03-21,29.99,Success
P2793286,C000019,2023-04-20,29.99,Success
P9209448,C000019,2023-05-20,29.99,Success
P8512335,C000019,2023-06-19,29.99,Success
P1284565,C000019,2023-07-19,29.99,Success
P5101993,C000019,2023-08-18,29.99,Success
P9286770,C000019,2023-09-17,29.99,Success
P9822849,C000019,2023-10-17,29.99,Success
P2541699,C000019,2023-11-16,29.99,Success
P9943302,C000019,2023-12-16,29.99,Success
P3797723,C000019,2024-01-15,29.99,Success
P4668256,C000019,2024-02-14,0.0,Failed
P5390807,C000019,2024-03-15,0.0,Failed
P6772531,C000019,2024-04-14,29.99,Success
P8608933,C000019,2024-05-14,29.99,Success
P7647855,C000019,2024-06-13,29.99,Success
P2726751,C000019,2024-07-13,29.99,Success
P6773450,C000019,2024-08-12,0.0,Failed
P1713404,C000019,2024-09-11,29.99,Success
P2165079,C000019,2024-10-11,0.0,Failed
P4034533,C000019,2024-11-10,29.99,Success
P2081049,C000019,2024-12-10,29.99,Success
P3850400,C000020,2024-07-08,129.99,Success
P1302071,C000020,2024-08-07,129.99,Success
P8529323,C000020,2024-09-06,129.99,Success
P3963309,C000020,2024-10-06,129.99,Success
P2526264,C000020,2024-11-05,0.0,Failed
P6230063,C000020,2024-12-05,129.99,Success
P5651461,C000021,2024-02-24,0.0,Failed
P7501434,C000021,2024-03-25,59.99,Success
P4963122,C000021,2024-04-24,59.99,Success
P1601542,C000021,2024-05-24,59.99,Success
P9310277,C000021,2024-06-23,59.99,Success
P9236395,C000022,2024-06-13,59.99,Success
P5736848,C000022,2024-07-13,59.99,Success
P1120806,C000022,2024-08-12,59.99,Success
P4434250,C000022,2024-09-11,59.99,Success
P6885963,C000022,2024-10-11,59.99,Success
P4469683,C000022,2024-11-10,59.99,Success
P2879635,C000022,2024-12-10,59.99,Success
P4145620,C000023,2022-04-11,129.99,Success
P6460289,C000023,2022-05-11,129.99,Success
P1598398,C000023,2022-06-10,129.99,Success
P5565179,C000023,2022-07-10,129.99,Success
P3005164,C000023,2022-08-09,129.99,Success
P1595516,C000023,2022-09-08,129.99,Success
P7093251,C000023,2022-10-08,129.99,Success
P6669464,C000023,2022-11-07,129.99,Success
P4713450,C000023,2022-12-07,129.99,Success
P1491878,C000023,2023-01-06,129.99,Success
P8434489,C000023,2023-02-05,129.99,Success
P3513725,C000023,2023-03-07,129.99,Success
P1002022,C000023,2023-04-06,129.99,Success
P2566378,C000023,2023-05-06,129.99,Success
P4381218,C000023,2023-06-05,129.99,Success
P8039841,C000023,2023-07-05,129.99,Success
P5007399,C000023,2023-08-04,129.99,Success
P1836977,C000023,2023-09-03,129.99,Success
P7440627,C000023,2023-10-03,129.99,Success
P9681841,C000023,2023-11-02,129.99,Success
P7071733,C000023,2023-12-02,129.99,Success
P4365721,C000023,2024-01-01,129.99,Success
P2697504,C000023,2024-01-31,129.99,Success
P9461931,C000023,2024-03-01,129.99,Success
P1195688,C000023,2024-03-31,0.0,Failed
P6007066,C000023,2024-04-30,0.0,Failed
P3375870,C000023,2024-05-30,129.99,Success
P9189673,C000023,2024-06-29,129.99,Success
P2552275,C000023,2024-07-29,129.99,Success
P8223004,C000023,2024-08-28,129.99,Success
P3034691,C000023,2024-09-27,129.99,Success
P7085481,C000023,2024-10-27,129.99,Success
P1298492,C000023,2024-11-26,0.0,Failed
P5289503,C000023,2024-12-26,129.99,Success
P7210394,C000024,2022-06-26,59.99,Success
P7052453,C000024,2022-07-26,59.99,Success
P5873004,C000024,2022-08-25,59.99,Success
P5824696,C000024,2022-09-24,59.99,Success
P1984056,C000024,2022-10-24,59.99,Success
P2770849,C000024,2022-11-23,59.99,Success
P1356625,C000024,2022-12-23,59.99,Success
P3838408,C000024,2023-01-22,59.99,Success
P7296527,C000024,2023-02-21,0.0,Failed
P2764302,C000024,2023-03-23,59.99,Success
P1116866,C000024,2023-04-22,59.99,Success
P1265468,C000024,2023-05-22,59.99,Success
P2880577,C000024,2023-06-21,59.99,Success
P6856249,C000024,2023-07-21,59.99,Success
P6763740,C000024,2023-08-20,0.0,Failed
P3709796,C000024,2023-09-19,59.99,Success
P8742296,C000024,2023-10-19,59.99,Success
P6944494,C000024,2023-11-18,59.99,Success
P5707078,C000024,2023-12-18,59.99,Success
P7567482,C000024,2024-01-17,59.99,Success
P3438855,C000024,2024-02-16,59.99,Success
P9643663,C000024,2024-03-17,59.99,Success
P5760940,C000024,2024-04-16,59.99,Success
P8235722,C000024,2024-05-16,59.99,Success
P9372452,C000024,2024-06-15,59.99,Success
P3762665,C000024,2024-07-15,59.99,Success
P1058643,C000024,2024-08-14,0.0,Failed
P9156609,C000024,2024-09-13,59.99,Success
P1501241,C000024,2024-10-13,59.99,Success
P7433283,C000024,2024-11-12,59.99,Success
P6693507,C000024,2024-12-12,59.99,Success
P9185375,C000025,2022-04-08,129.99,Success
P5955221,C000025,2022-05-08,129.99,Success
P5890057,C000025,2022-06-07,129.99,Success
P8868771,C000025,2022-07-07,129.99,Success
P8345724,C000025,2022-08-06,129.99,Success
P6655864,C000025,2022-09-05,129.99,Success
P5976006,C000025,2022-10-05,129.99,Success
P7177419,C000025,2022-11-04,129.99,Success
P1854348,C000025,2022-12-04,129.99,Success
P1309782,C000025,2023-01-03,0.0,Failed
P6873567,C000025,2023-02-02,129.99,Success
P4284968,C000025,2023-03-04,129.99,Success
P8125708,C000025,2023-04-03,129.99,Success
P5266054,C000025,2023-05-03,129.99,Success
P8534286,C000025,2023-06-02,129.99,Success
P5264872,C000025,2023-07-02,129.99,Success
P2557530,C000025,2023-08-01,129.99,Success
P1416153,C000025,2023-08-31,0.0,Failed
P3675737,C000025,2023-09-30,129.99,Success
P1951041,C000025,2023-10-30,129.99,Success
P2953333,C000025,2023-11-29,129.99,Success
P8224373,C000025,2023-12-29,129.99,Success
P8414740,C000025,2024-01-28,129.99,Success
P4323742,C000025,2024-02-27,0.0,Failed
P8376778,C000025,2024-03-28,129.99,Success
P9254127,C000025,2024-04-27,129.99,Success
P8178836,C000025,2024-05-27,129.99,Success
P3910185,C000025,2024-06-26,0.0,Failed
P6630871,C000025,2024-07-26,129.99,Success
P4391578,C000025,2024-08-25,129.99,Success
P2346561,C000025,2024-09-24,129.99,Success
P2565420,C000025,2024-10-24,129.99,Success
P4128534,C000025,2024-11-23,129.99,Success
P1472528,C000025,2024-12-23,129.99,Success
P6812098,C000026,2023-01-24,129.99,Success
P2162054,C000026,2023-02-23,129.99,Success
P5461119,C000026,2023-03-25,129.99,Success
P2614213,C000026,2023-04-24,129.99,Success
P8535168,C000026,2023-05-24,129.99,Success
P6888724,C000026,2023-06-23,129.99,Success
P5499012,C000026,2023-07-23,129.99,Success
P2906085,C000026,2023-08-22,129.99,Success
P4425337,C000026,2023-09-21,129.99,Success
P7813283,C000026,2023-10-21,129.99,Success
P2733469,C000026,2023-11-20,129.99,Success
P3745329,C000026,2023-12-20,0.0,Failed
P8101540,C000026,2024-01-19,129.99,Success
P6938291,C000026,2024-02-18,129.99,Success
P2830201,C000026,2024-03-19,129.99,Success
P2021847,C000026,2024-04-18,129.99,Success
P7421774,C000026,2024-05-18,129.99,Success
P5660314,C000026,2024-06-17,129.99,Success
P9044833,C000026,2024-07-17,129.99,Success
P8776848,C000026,2024-08-16,129.99,Success
P6966022,C000026,2024-09-15,129.99,Success
P6551477,C000026,2024-10-15,129.99,Success
P5386963,C000026,2024-11-14,129.99,Success
P1972554,C000026,2024-12-14,129.99,Success
P2304568,C000027,2022-03-07,59.99,Success
P6128841,C000027,2022-04-06,59.99,Success
P3604540,C000027,2022-05-06,59.99,Success
P1261953,C000027,2022-06-05,59.99,Success
P3862726,C000027,2022-07-05,59.99,Success
P3010011,C000027,2022-08-04,59.99,Success
P9740376,C000027,2022-09-03,0.0,Failed
P6619474,C000027,2022-10-03,59.99,Success
P2796310,C000027,2022-11-02,59.99,Success
P9870326,C000027,2022-12-02,59.99,Success
P3569067,C000027,2023-01-01,59.99,Success
P6596259,C000027,2023-01-31,59.99,Success
P5129123,C000027,2023-03-02,59.99,Success
P7868690,C000027,2023-04-01,59.99,Success
P2976704,C000027,2023-05-01,59.99,Success
P3049921,C000027,2023-05-31,59.99,Success
P9876767,C000027,2023-06-30,59.99,Success
P6853390,C000027,2023-07-30,0.0,Failed
P4441975,C000027,2023-08-29,59.99,Success
P1716485,C000027,2023-09-28,59.99,Success
P6685165,C000027,2023-10-28,59.99,Success
P8265605,C000027,2023-11-27,59.99,Success
P1251152,C000027,2023-12-27,59.99,Success
P4774541,C000027,2024-01-26,59.99,Success
P4808378,C000027,2024-02-25,59.99,Success
P9846527,C000027,2024-03-26,59.99,Success
P2754954,C000027,2024-04-25,59.99,Success
P8965089,C000027,2024-05-25,59.99,Success
P7741889,C000027,2024-06-24,59.99,Success
P2093321,C000027,2024-07-24,59.99,Success
P3063918,C000027,2024-08-23,59.99,Success
P6509331,C000027,2024-09-22,59.99,Success
P9214245,C000027,2024-10-22,0.0,Failed
P8687293,C000027,2024-11-21,59.99,Success
P6939059,C000027,2024-12-21,0.0,Failed
P5919706,C000028,2023-03-29,59.99,Success
P6142810,C000028,2023-04-28,59.99,Success
P5653102,C000028,2023-05-28,59.99,Success
P8323144,C000028,2023-06-27,0.0,Failed
P2952145,C000028,2023-07-27,59.99,Success
P5147892,C000028,2023-08-26,59.99,Success
P8281109,C000028,2023-09-25,59.99,Success
P6120214,C000028,2023-10-25,59.99,Success
P6325559,C000028,2023-11-24,59.99,Success
P7252171,C000028,2023-12-24,59.99,Success
P8123784,C000028,2024-01-23,59.99,Success
P8748419,C000028,2024-02-22,59.99,Success
P7327245,C000028,2024-03-23,59.99,Success
P7860828,C000028,2024-04-22,59.99,Success
P8983734,C000028,2024-05-22,59.99,Success
P5437089,C000028,2024-06-21,59.99,Success
P9204517,C000028,2024-07-21,59.99,Success
P4198662,C000028,2024-08-20,59.99,Success
P2322824,C000028,2024-09-19,59.99,Success
P1675955,C000028,2024-10-19,59.99,Success
P7803155,C000028,2024-11-18,59.99,Success
P2832230,C000028,2024-12-18,59.99,Success
P5455349,C000029,2024-09-06,29.99,Success
P4918712,C000029,2024-10-06,29.99,Success
P1353281,C000029,2024-11-05,29.99,Success
P7663503,C000029,2024-12-05,29.99,Success
P4870109,C000030,2023-08-11,59.99,Success
P9506299,C000030,2023-09-10,59.99,Success
P2440317,C000030,2023-10-10,59.99,Success
P8238601,C000030,2023-11-09,59.99,Success
P6942866,C000030,2023-12-09,0.0,Failed
P2455399,C000030,2024-01-08,59.99,Success
P8898566,C000030,2024-02-07,59.99,Success
P3686744,C000030,2024-03-08,59.99,Success
P4121997,C000030,2024-04-07,59.99,Success
P8176621,C000030,2024-05-07,59.99,Success
P8406076,C000030,2024-06-06,59.99,Success
P4607451,C000030,2024-07-06,59.99,Success
P9960925,C000030,2024-08-05,59.99,Success
P4654996,C000030,2024-09-04,0.0,Failed
P9816957,C000030,2024-10-04,59.99,Success
P4234282,C000030,2024-11-03,59.99,Success
P4161535,C000030,2024-12-03,59.99,Success
P9079008,C000031,2024-12-08,129.99,Success
P8339021,C000032,2023-01-16,129.99,Success
P3397279,C000032,2023-02-15,129.99,Success
P2096886,C000032,2023-03-17,129.99,Success
P5814225,C000032,2023-04-16,129.99,Success
P3861779,C000032,2023-05-16,129.99,Success
P4438871,C000032,2023-06-15,0.0,Failed
P9077825,C000032,2023-07-15,129.99,Success
P4841243,C000032,2023-08-14,129.99,Success
P6235092,C000032,2023-09-13,129.99,Success
P6429492,C000032,2023-10-13,129.99,Success
P8005479,C000032,2023-11-12,129.99,Success
P8584381,C000032,2023-12-12,129.99,Success
P4254686,C000032,2024-01-11,129.99,Success
P2639351,C000032,2024-02-10,129.99,Success
P9587514,C000032,2024-03-11,129.99,Success
P3954860,C000032,2024-04-10,129.99,Success
P4882150,C000032,2024-05-10,129.99,Success
P1315979,C000033,2022-11-18,29.99,Success
P9769167,C000033,2022-12-18,0.0,Failed
P5505259,C000033,2023-01-17,29.99,Success
P4260556,C000033,2023-02-16,29.99,Success
