subscription_id,customer_id,plan_type,start_date,end_date,monthly_price
S194509,C000197,Pro,2024-03-03,,59.99
S546285,C000198,Pro,2025-01-02,,59.99
S999038,C000199,Enterprise,2024-11-19,,129.99
S216731,C000200,Basic,2023-12-29,,29.99
S924705,C000201,Basic,2022-08-04,2023-05-01,29.99
S113034,C000202,Pro,2023-03-04,,59.99
S931063,C000203,Enterprise,2023-05-10,,129.99
S396866,C000204,Enterprise,2024-06-29,,129.99
S414227,C000205,Enterprise,2022-02-03,2023-05-29,129.99
S507989,C000206,Basic,2022-09-03,2023-03-02,29.99
S956820,C000207,Pro,2024-03-24,,59.99
S582100,C000208,Pro,2022-12-13,2023-09-09,59.99
S592692,C000209,Basic,2023-03-01,,29.99
S507226,C000210,Enterprise,2022-01-30,,129.99
S599760,C000211,Enterprise,2023-11-30,,129.99
S888583,C000212,Pro,2024-09-29,,59.99
S928416,C000213,Basic,2024-02-19,2024-11-15,29.99
S406517,C000214,Pro,2024-10-02,,59.99
S147188,C000215,Basic,2022-05-10,,29.99
S549384,C000216,Pro,2022-02-09,,59.99
S443716,C000217,Basic,2022-09-25,,29.99
S636448,C000218,Pro,2023-01-30,,59.99
S120733,C000219,Enterprise,2022-11-20,,129.99
S987337,C000220,Basic,2023-10-16,,29.99
S745394,C000221,Pro,2022-07-27,,59.99
S414341,C000222,Enterprise,2022-04-03,2022-11-29,129.99
S143176,C000223,Enterprise,2023-09-17,,129.99
S687582,C000224,Basic,2022-09-23,,29.99
S379559,C000225,Basic,2024-03-09,2024-12-31,29.99
S905917,C000226,Pro,2022-02-27,,59.99
S329663,C000227,Pro,2022-11-27,,59.99
S549210,C000228,Pro,2024-11-16,,59.99
S305909,C000229,Pro,2022-12-01,,59.99
S507603,C000230,Enterprise,2024-07-06,,129.99
S570428,C000231,Enterprise,2024-06-08,,129.99
S111303,C000232,Enterprise,2024-02-17,,129.99
S407675,C000233,Basic,2022-07-18,,29.99
S881563,C000234,Enterprise,2023-11-01,,129.99
S982970,C000235,Basic,2022-01-12,,29.99
S686585,C000236,Basic,2023-07-28,,29.99
S821645,C000237,Enterprise,2023-01-12,2023-12-08,129.99
S307471,C000238,Pro,2024-04-23,,59.99
S869594,C000239,Enterprise,2023-05-19,,129.99
S166290,C000240,Enterprise,2023-08-28,,129.99
S103368,C000241,Enterprise,2024-05-21,,129.99
S338169,C000242,Enterprise,2022-07-28,,129.99
S453596,C000243,Enterprise,2023-07-02,,129.99
S605108,C000244,Enterprise,2023-06-09,2024-07-03,129.99
S282851,C000245,Enterprise,2022-07-08,,129.99
S861384,C000246,Basic,2023-12-12,,29.99
S436893,C000247,Pro,2024-01-15,,59.99
S116780,C000248,Enterprise,2024-05-07,,129.99
S918950,C000249,Basic,2022-10-10,,29.99
S659552,C000250,Basic,2023-02-16,,29.99
S804602,C000251,Basic,2022-12-13,,29.99
S419527,C000252,Pro,2024-04-04,,59.99
S778998,C000253,Pro,2022-07-12,,59.99
S407861,C000254,Enterprise,2024-04-30,2024-10-27,129.99
S629728,C000255,Basic,2022-03-22,,29.99
S389204,C000256,Enterprise,2022-02-27,,129.99
S153717,C000257,Basic,2023-10-20,,29.99
S493401,C000258,Pro,2022-05-17,,59.99
S888992,C000259,Basic,2024-07-29,,29.99
S783488,C000260,Pro,2024-07-07,,59.99
S535827,C000261,Pro,2024-03-26,,59.99
S990324,C000262,Pro,2022-12-26,2024-04-19,59.99
S812440,C000263,Pro,2023-03-13,,59.99
S345199,C000264,Pro,2024-03-25,,59.99
S948439,C000265,Pro,2023-09-30,,59.99
S791139,C000266,Basic,2023-08-16,,29.99
S827718,C000267,Pro,2024-11-27,,59.99
S490874,C000268,Basic,2022-02-09,,29.99
S738508,C000269,Enterprise,2022-08-13,,129.99
S162715,C000270,Enterprise,2022-03-12,,129.99
S598469,C000271,Basic,2024-09-13,,29.99
S704886,C000272,Enterprise,2024-12-02,,129.99
S914817,C000273,Basic,2022-09-10,,29.99
S450771,C000274,Enterprise,2024-11-01,,129.99
S576496,C000275,Basic,2023-10-19,,29.99
S978316,C000276,Enterprise,2022-01-15,,129.99
S121426,C000277,Enterprise,2024-10-19,,129.99
S480990,C000278,Pro,2024-05-14,,59.99
S549214,C000279,Pro,2023-02-06,,59.99
S138278,C000280,Basic,2024-08-21,,29.99
S360024,C000281,Basic,2024-07-16,,29.99
S545441,C000282,Pro,2024-05-25,,59.99
S321536,C000283,Enterprise,2024-06-26,2024-12-31,129.99
S606511,C000284,Basic,2024-04-01,,29.99
S123334,C000285,Enterprise,2023-01-12,2023-10-09,129.99
S834887,C000286,Pro,2023-04-20,,59.99
S242228,C000287,Basic,2022-11-08,,29.99
S292319,C000288,Basic,2022-04-27,,29.99
S999281,C000289,Pro,2022-05-01,,59.99
S913801,C000290,Pro,2023-03-06,2024-01-30,59.99
S908554,C000291,Basic,2024-10-13,2024-12-31,29.99
S632765,C000292,Enterprise,2024-02-14,,129.99
S551839,C000293,Enterprise,2024-05-27,,129.99
S809102,C000294,Pro,2024-01-23,2024-12-31,59.99
S966597,C000295,Enterprise,2023-06-13,,129.99
S593594,C000296,Basic,2024-10-27,,29.99
S314276,C000297,Basic,2024-04-13,2024-12-31,29.99
S952708,C000298,Pro,2022-05-14,,59.99
S519225,C000299,Basic,2023-01-10,2024-07-03,29.99
S937623,C000300,Basic,2023-12-30,2024-12-31,29.99
S989360,C000301,Enterprise,2024-11-03,,129.99
S803327,C000302,Basic,2024-10-02,,29.99
S698738,C000303,Enterprise,2023-05-09,,129.99
S968677,C000304,Basic,2022-08-27,,29.99
S577533,C000305,Basic,2022-12-28,,29.99
S779384,C000306,Basic,2024-02-10,,29.99
S902154,C000307,Enterprise,2023-01-06,,129.99
S181526,C000308,Enterprise,2023-02-25,,129.99
S520974,C000309,Enterprise,2024-04-03,,129.99
S564290,C000310,Enterprise,2023-05-14,,129.99
S315936,C000311,Basic,2022-06-18,2023-09-11,29.99
S899577,C000312,Basic,2023-09-07,2024-01-05,29.99
S900069,C000313,Basic,2022-05-15,,29.99
S809011,C000314,Basic,2022-10-24,,29.99
S300967,C000315,Basic,2022-09-13,,29.99
S285924,C000316,Enterprise,2023-01-28,,129.99
S805590,C000317,Enterprise,2022-03-31,2022-08-28,129.99
S614366,C000318,Enterprise,2023-01-06,2023-09-03,129.99
S261395,C000319,Basic,2024-07-25,,29.99
S438541,C000320,Pro,2023-05-29,,59.99
S943351,C000321,Basic,2023-01-16,,29.99
S194830,C000322,Basic,2024-04-08,,29.99
S106370,C000323,Pro,2022-03-28,,59.99
S962305,C000324,Enterprise,2023-06-24,,129.99
S375161,C000325,Pro,2022-03-19,,59.99
S715841,C000326,Basic,2023-11-29,,29.99
S131674,C000327,Pro,2022-11-12,,59.99
S829238,C000328,Basic,2022-04-21,,29.99
S191328,C000329,Enterprise,2024-02-25,2024-12-21,129.99
S348937,C000330,Enterprise,2022-01-17,,129.99
S820463,C000331,Pro,2022-06-09,,59.99
S218441,C000332,Enterprise,2024-09-18,2024-12-17,129.99
S571482,C000333,Pro,2023-10-17,2024-12-31,59.99
S166594,C000334,Basic,2024-07-13,2024-12-31,29.99
S299073,C000335,Enterprise,2024-06-27,2024-12-31,129.99
S371018,C000336,Basic,2024-12-04,,29.99
S270295,C000337,Enterprise,2022-03-15,,129.99
S688682,C000338,Pro,2022-07-18,,59.99
S790685,C000339,Enterprise,2022-07-07,2023-06-02,129.99
S156941,C000340,Basic,2024-07-22,,29.99
S920835,C000341,Enterprise,2023-01-31,,129.99
S961956,C000342,Enterprise,2022-12-03,,129.99
S588540,C000343,Enterprise,2023-07-26,,129.99
S217069,C000344,Enterprise,2024-03-04,,129.99
S626382,C000345,Pro,2022-07-09,,59.99
S764815,C000346,Basic,2022-05-20,,29.99
S795545,C000347,Pro,2022-03-23,2023-02-16,59.99
S219430,C000348,Basic,2022-07-09,,29.99
S776541,C000349,Pro,2023-02-12,,59.99
S892309,C000350,Enterprise,2023-10-10,,129.99
S498053,C000351,Basic,2022-04-03,,29.99
S364867,C000352,Enterprise,2023-11-08,,129.99
S857819,C000353,Enterprise,2024-03-20,,129.99
S444528,C000354,Enterprise,2023-06-01,2023-10-29,129.99
S570567,C000355,Basic,2024-07-20,,29.99
S157041,C000356,Basic,2022-09-10,2024-03-03,29.99
S532292,C000357,Enterprise,2024-06-28,,129.99
S144597,C000358,Enterprise,2024-11-12,,129.99
S150252,C000359,Pro,2022-09-06,,59.99
S638105,C000360,Basic,2022-06-16,,29.99
S132972,C000361,Enterprise,2024-06-06,,129.99
S168776,C000362,Enterprise,2022-10-08,,129.99
S521644,C000363,Pro,2023-10-01,,59.99
S273648,C000364,Basic,2024-09-10,,29.99
S676997,C000365,Enterprise,2022-05-11,,129.99
S907816,C000366,Basic,2022-03-05,,29.99
S413678,C000367,Pro,2024-04-19,,59.99
S888807,C000368,Enterprise,2024-06-18,,129.99
S579873,C000369,Basic,2024-09-12,2024-12-11,29.99
S692389,C000370,Basic,2023-03-21,2024-04-14,29.99
S762014,C000371,Basic,2024-07-06,2024-12-31,29.99
S178917,C000372,Pro,2023-02-27,,59.99
S102288,C000373,Pro,2023-01-19,,59.99
S854169,C000374,Pro,2023-11-20,2024-05-18,59.99
S503574,C000375,Enterprise,2022-11-10,,129.99
S938660,C000376,Basic,2024-10-12,,29.99
S238864,C000377,Pro,2023-11-29,2024-12-31,59.99
S134701,C000378,Basic,2022-07-28,,29.99
S981508,C000379,Enterprise,2022-11-23,,129.99
S578454,C000380,Basic,2024-10-01,2024-12-31,29.99
S894201,C000381,Basic,2022-04-10,,29.99
S541743,C000382,Basic,2022-10-16,,29.99
S377413,C000383,Basic,2023-06-19,,29.99
S328948,C000384,Pro,2023-07-15,,59.99
S723758,C000385,Pro,2024-10-04,,59.99
S782581,C000386,Pro,2023-11-27,,59.99
S450232,C000387,Basic,2022-11-11,2023-10-07,29.99
S961216,C000388,Enterprise,2024-08-13,,129.99
S106154,C000389,Pro,2023-04-06,,59.99
S111484,C000390,Basic,2023-06-08,,29.99
S409576,C000391,Enterprise,2023-05-17,,129.99
S789700,C000392,Enterprise,2024-08-02,,129.99
S270190,C000393,Basic,2024-04-04,,29.99
S492099,C000394,Enterprise,2023-04-28,,129.99
S725654,C000395,Basic,2023-08-10,,29.99
S194397,C000396,Basic,2022-07-31,,29.99
S580802,C000397,Basic,2023-04-22,,29.99
S109389,C000398,Pro,2024-12-16,,59.99
S379193,C000399,Basic,2022-09-04,,29.99
S962892,C000400,Enterprise,2023-05-19,2024-08-11,129.99
S362065,C000401,Enterprise,2022-05-14,,129.99
S780552,C000402,Enterprise,2022-05-05,,129.99
S238264,C000403,Pro,2023-08-27,,59.99
S493669,C000404,Pro,2023-10-06,,59.99
S985482,C000405,Pro,2022-09-25,,59.99
S144070,C000406,Enterprise,2024-11-05,,129.99
S832326,C000407,Pro,2023-12-08,2024-10-03,59.99
S625580,C000408,Pro,2024-08-05,,59.99
S928136,C000409,Basic,2022-11-11,2024-04-04,29.99
S391904,C000410,Pro,2022-07-15,,59.99
S354879,C000411,Enterprise,2022-05-04,,129.99
S835771,C000412,Pro,2023-04-25,,59.99
S634795,C000413,Pro,2022-01-26,,59.99
S224630,C000414,Enterprise,2024-04-03,,129.99
S851671,C000415,Pro,2022-04-02,,59.99
S622623,C000416,Enterprise,2024-12-10,,129.99
S487384,C000417,Basic,2022-06-03,,29.99
S519499,C000418,Pro,2022-03-21,,59.99
S307183,C000419,Pro,2023-02-21,,59.99
S548672,C000420,Basic,2023-11-07,,29.99
S522819,C000421,Basic,2023-10-09,,29.99
S397485,C000422,Pro,2023-09-01,2024-12-24,59.99
S235630,C000423,Enterprise,2022-08-05,,129.99
S694487,C000424,Pro,2022-08-02,2023-07-28,59.99
S996867,C000425,Pro,2024-08-22,,59.99
S282640,C000426,Enterprise,2022-04-19,,129.99
S152950,C000427,Basic,2022-10-07,,29.99
S734212,C000428,Pro,2023-02-13,,59.99
S273838,C000429,Enterprise,2024-03-19,2024-11-14,129.99
S111617,C000430,Pro,2022-02-10,2022-09-08,59.99
S517495,C000431,Pro,2022-02-08,,59.99
S696845,C000432,Basic,2022-04-14,,29.99
S298331,C000433,Enterprise,2022-09-16,2023-05-14,129.99
S716549,C000434,Pro,2022-02-17,2022-09-15,59.99
S929555,C000435,Enterprise,2024-05-04,,129.99
S325796,C000436,Enterprise,2023-08-12,2024-06-07,129.99
S679701,C000437,Pro,2023-03-20,,59.99
S519238,C000438,Enterprise,2022-01-17,,129.99
S844610,C000439,Enterprise,2022-06-16,2023-11-08,129.99
S490247,C000440,Pro,2023-10-12,2024-06-08,59.99
S415734,C000441,Pro,2024-06-07,,59.99
S367184,C000442,Basic,2024-07-18,,29.99
S151228,C000443,Enterprise,2023-08-14,,129.99
S946703,C000444,Enterprise,2022-04-29,,129.99
S737543,C000445,Pro,2023-05-01,,59.99
S443272,C000446,Basic,2024-12-05,,29.99
S653522,C000447,Basic,2022-01-11,,29.99
S901569,C000448,Enterprise,2023-08-14,,129.99
S232177,C000449,Enterprise,2022-12-14,2023-07-12,129.99
S130755,C000450,Pro,2022-06-13,,59.99
S169728,C000451,Basic,2023-03-14,,29.99
S152083,C000452,Pro,2022-04-22,,59.99
S832320,C000453,Enterprise,2023-01-01,,129.99
S253924,C000454,Pro,2023-01-14,2024-04-08,59.99
S883278,C000455,Enterprise,2022-06-13,,129.99
S877195,C000456,Basic,2023-09-07,2024-09-01,29.99
S337847,C000457,Enterprise,2023-12-10,,129.99
S866602,C000458,Basic,2023-12-09,2024-12-03,29.99
S415117,C000459,Enterprise,2022-05-15,2023-02-09,129.99
S641679,C000460,Basic,2023-09-04,2024-05-31,29.99
S437009,C000461,Enterprise,2022-09-14,,129.99
S766441,C000462,Basic,2022-12-23,,29.99
S238826,C000463,Enterprise,2024-02-04,,129.99
S742669,C000464,Basic,2022-02-20,,29.99
S775731,C000465,Enterprise,2024-01-18,,129.99
S803973,C000466,Pro,2022-06-27,,59.99
S267529,C000467,Pro,2024-08-12,,59.99
S411271,C000468,Enterprise,2023-07-26,2024-02-21,129.99
S751254,C000469,Basic,2022-12-04,,29.99
S158312,C000470,Enterprise,2022-02-26,2022-09-24,129.99
S344876,C000471,Enterprise,2024-07-01,,129.99
S132485,C000472,Pro,2023-12-23,2024-10-18,59.99
S608013,C000473,Enterprise,2024-12-26,,129.99
S738196,C000474,Pro,2023-07-23,,59.99
S373698,C000475,Basic,2024-01-08,,29.99
S231179,C000476,Enterprise,2022-10-17,2024-01-10,129.99
S914521,C000477,Enterprise,2024-03-02,,129.99
S956114,C000478,Enterprise,2022-10-01,,129.99
S998951,C000479,Basic,2022-08-16,,29.99
S659885,C000480,Pro,2023-04-16,,59.99
S104523,C000481,Basic,2022-11-26,,29.99
S790887,C000482,Basic,2023-05-21,,29.99
S758450,C000483,Pro,2022-09-19,,59.99
S745594,C000484,Basic,2024-09-13,,29.99
S205386,C000485,Pro,2022-02-11,,59.99
S603622,C000486,Enterprise,2023-11-20,2024-12-14,129.99
S901616,C000487,Basic,2022-04-25,,29.99
S868123,C000488,Enterprise,2023-02-28,,129.99
S404485,C000489,Enterprise,2023-07-07,,129.99
S359951,C000490,Basic,2023-04-23,,29.99
S370142,C000491,Pro,2022-08-29,,59.99
S271302,C000492,Basic,2023-11-30,,29.99
S788545,C000493,Pro,2024-02-15,2024-07-14,59.99
S792559,C000494,Basic,2024-12-12,,29.99
S991730,C000495,Enterprise,2024-06-27,,129.99
S113351,C000496,Pro,2023-04-15,,59.99
S619955,C000497,Basic,2022-02-04,2023-07-29,29.99
S277794,C000498,Basic,2022-05-21,,29.99
S466594,C000499,Basic,2022-01-28,,29.99
S539399,C000500,Basic,2024-06-16,,29.99
S703559,C000501,Basic,2023-01-15,,29.99
S147173,C000502,Enterprise,2022-05-09,,129.99
S449727,C000503,Basic,2024-06-22,,29.99
S976426,C000504,Enterprise,2023-11-25,,129.99
S719484,C000505,Enterprise,2022-05-23,2022-10-20,129.99
S607803,C000506,Basic,2024-12-12,,29.99
S581948,C000507,Basic,2022-03-07,,29.99
S412758,C000508,Basic,2022-12-30,,29.99
S949729,C000509,Enterprise,2022-05-07,,129.99
S425592,C000510,Pro,2023-12-25,,59.99
S570342,C000511,Pro,2023-05-20,,59.99
S738513,C000512,Pro,2022-12-01,,59.99
S384094,C000513,Basic,2024-06-30,,29.99
S565495,C000514,Pro,2022-06-18,2022-09-16,59.99
S234921,C000515,Enterprise,2023-03-13,2024-07-05,129.99
S168879,C000516,Basic,2023-05-01,,29.99
S977595,C000517,Basic,2023-04-18,,29.99
S436962,C000518,Pro,2024-07-15,,59.99
S893830,C000519,Basic,2022-11-03,,29.99
S924629,C000520,Enterprise,2022-04-23,,129.99
S135773,C000521,Pro,2023-01-24,,59.99
S994783,C000522,Enterprise,2022-06-05,,129.99
S606799,C000523,Pro,2024-02-17,,59.99
S789344,C000524,Enterprise,2024-09-14,,129.99
S664357,C000525,Basic,2022-04-18,,29.99
S182268,C000526,Enterprise,2023-02-16,,129.99
S502156,C000527,Pro,2022-06-17,,59.99
S734407,C000528,Basic,2024-11-22,2024-12-31,29.99
S933393,C000529,Basic,2023-09-14,,29.99
S101526,C000530,Pro,2024-10-16,,59.99
S671063,C000531,Pro,2024-04-18,,59.99
S864327,C000532,Enterprise,2024-02-27,,129.99
S200072,C000533,Enterprise,2023-02-04,,129.99
S975736,C000534,Pro,2022-09-08,,59.99
S384424,C000535,Pro,2023-12-16,,59.99
S749230,C000536,Enterprise,2022-10-26,,129.99
S360965,C000537,Pro,2022-06-27,2023-08-21,59.99
